start,target,elapsed_task_time,method,game_mode,D,W,ID
"(1, 4)","(1, 7)",1.8449203968048096,hotcorner,chase,993.43,200.0,2.58
"(2, 3)","(1, 7)",1.4121787548065186,hotcorner,chase,1071.3,200.0,2.67
"(3, 5)","(1, 7)",4.053927183151245,hotcorner,chase,502.19,200.0,1.81
"(1, 5)","(1, 7)",1.4772326946258545,hotcorner,chase,816.65,200.0,2.35
"(1, 3)","(1, 7)",1.939204692840576,hotcorner,chase,1199.16,200.0,2.81
"(2, 5)","(1, 7)",1.5670952796936035,hotcorner,chase,613.68,200.0,2.02
"(2, 4)","(1, 7)",1.1190314292907717,hotcorner,chase,834.63,200.0,2.37
"(3, 3)","(1, 7)",2.655907392501831,hotcorner,chase,1011.57,200.0,2.6
"(1, 4)","(1, 7)",1.406391143798828,hotcorner,chase,993.43,200.0,2.58
"(2, 3)","(1, 7)",1.2146623134613037,hotcorner,chase,1071.3,200.0,2.67
"(3, 5)","(1, 7)",1.4733786582946775,hotcorner,chase,502.19,200.0,1.81
"(1, 5)","(1, 7)",1.6431219577789309,hotcorner,chase,816.65,200.0,2.35
"(3, 4)","(1, 7)",3.852940559387207,hotcorner,chase,756.43,200.0,2.26
"(1, 3)","(1, 7)",1.4090509414672852,hotcorner,chase,1199.16,200.0,2.81
"(2, 5)","(1, 7)",5.36184549331665,hotcorner,chase,613.68,200.0,2.02
"(2, 4)","(1, 7)",5.828030586242676,hotcorner,chase,834.63,200.0,2.37
"(3, 3)","(1, 7)",1.3624708652496338,hotcorner,chase,1011.57,200.0,2.6
"(1, 4)","(1, 7)",1.6940796375274658,hotcorner,chase,993.43,200.0,2.58
"(2, 3)","(1, 7)",1.6476616859436035,hotcorner,chase,1071.3,200.0,2.67
"(3, 5)","(1, 7)",2.2754769325256348,hotcorner,chase,502.19,200.0,1.81
"(1, 5)","(1, 7)",1.8007643222808838,hotcorner,chase,816.65,200.0,2.35
"(3, 4)","(1, 7)",2.480682373046875,hotcorner,chase,756.43,200.0,2.26
"(1, 3)","(1, 7)",1.459001064300537,hotcorner,chase,1199.16,200.0,2.81
"(2, 5)","(1, 7)",3.383396863937378,hotcorner,chase,613.68,200.0,2.02
"(2, 4)","(1, 7)",4.835661888122559,hotcorner,chase,834.63,200.0,2.37
"(3, 3)","(1, 7)",1.533329725265503,hotcorner,chase,1011.57,200.0,2.6
"(1, 4)","(1, 7)",1.7889723777770996,hotcorner,chase,993.43,200.0,2.58
"(3, 3)","(1, 7)",2.865304946899414,hotcorner,memory,1011.57,200.0,2.6
"(3, 3)","(1, 7)",2.34856390953064,hotcorner,memory,1011.57,200.0,2.6
